fold,n_folds,epoch,train_loss,val_q3
1,5,1,1.0409,0.5551
1,5,2,0.7302,0.7282
1,5,3,0.5925,0.7612
1,5,4,0.5541,0.7559
1,5,5,0.5243,0.7716
1,5,6,0.5098,0.7787
1,5,7,0.4986,0.7707
1,5,8,0.4837,0.7776
1,5,9,0.474,0.7788
1,5,10,0.4671,0.7729
1,5,11,0.4574,0.7806
1,5,12,0.4424,0.7882
1,5,13,0.4319,0.7892
1,5,14,0.4179,0.7923
1,5,15,0.4026,0.7886
1,5,16,0.3904,0.7966
1,5,17,0.3788,0.7973
1,5,18,0.3649,0.7997
1,5,19,0.3579,0.8051
1,5,20,0.3445,0.8051
1,5,21,0.3384,0.8094
1,5,22,0.3261,0.8126
1,5,23,0.3212,0.8146
1,5,24,0.3153,0.8137
1,5,25,0.308,0.8154
1,5,26,0.3049,0.8156
1,5,27,0.3056,0.8158
1,5,28,0.3029,0.8172
1,5,29,0.2999,0.8172
1,5,30,0.3079,0.8167
2,5,1,1.0335,0.5619
2,5,2,0.733,0.737
2,5,3,0.6029,0.7635
2,5,4,0.5526,0.7804
2,5,5,0.5344,0.778
2,5,6,0.5157,0.779
2,5,7,0.5037,0.7785
2,5,8,0.4918,0.7858
2,5,9,0.4851,0.7871
2,5,10,0.474,0.7853
2,5,11,0.459,0.7893
2,5,12,0.4534,0.795
2,5,13,0.4379,0.7925
2,5,14,0.4267,0.7956
2,5,15,0.4102,0.8038
2,5,16,0.4043,0.8041
2,5,17,0.3959,0.8066
2,5,18,0.3843,0.8122
2,5,19,0.3705,0.8143
2,5,20,0.3601,0.8135
2,5,21,0.3545,0.8179
2,5,22,0.3466,0.8186
2,5,23,0.3355,0.8209
2,5,24,0.3316,0.8218
2,5,25,0.3246,0.822
2,5,26,0.3243,0.8235
2,5,27,0.3191,0.8225
2,5,28,0.323,0.8225
2,5,29,0.3226,0.823
2,5,30,0.3208,0.823
3,5,1,1.0288,0.6226
3,5,2,0.7221,0.7493
3,5,3,0.6108,0.7855
3,5,4,0.5708,0.7964
3,5,5,0.5453,0.7985
3,5,6,0.5344,0.8039
3,5,7,0.518,0.8044
3,5,8,0.5088,0.8111
3,5,9,0.4952,0.8106
3,5,10,0.4796,0.8107
3,5,11,0.4627,0.8151
3,5,12,0.4569,0.819
3,5,13,0.4408,0.819
3,5,14,0.4234,0.82
3,5,15,0.4126,0.8261
3,5,16,0.3943,0.8237
3,5,17,0.3793,0.8291
3,5,18,0.3662,0.8286
3,5,19,0.3561,0.8328
3,5,20,0.348,0.8336
3,5,21,0.3335,0.8321
3,5,22,0.3296,0.8355
3,5,23,0.3234,0.8357
3,5,24,0.3139,0.8375
3,5,25,0.3108,0.8393
3,5,26,0.3063,0.8404
3,5,27,0.3035,0.8401
3,5,28,0.3049,0.8391
3,5,29,0.3024,0.8399
3,5,30,0.3026,0.8401
4,5,1,1.0011,0.6644
4,5,2,0.6862,0.7525
4,5,3,0.5822,0.7602
4,5,4,0.5489,0.7724
4,5,5,0.535,0.7693
4,5,6,0.5123,0.7751
4,5,7,0.5,0.78
4,5,8,0.4967,0.7802
4,5,9,0.4788,0.7851
4,5,10,0.4695,0.7754
4,5,11,0.4575,0.7802
4,5,12,0.4398,0.7839
4,5,13,0.425,0.7827
4,5,14,0.4163,0.7908
4,5,15,0.4099,0.7891
4,5,16,0.3895,0.7913
4,5,17,0.3812,0.7919
4,5,18,0.3642,0.7952
4,5,19,0.3546,0.7981
4,5,20,0.3468,0.796
4,5,21,0.3389,0.8006
4,5,22,0.3271,0.803
4,5,23,0.3169,0.801
4,5,24,0.3114,0.8006
4,5,25,0.3119,0.8019
4,5,26,0.3074,0.8013
4,5,27,0.3078,0.8044
4,5,28,0.3017,0.8014
4,5,29,0.3047,0.8031
4,5,30,0.3022,0.8029
5,5,1,1.0286,0.5895
5,5,2,0.7198,0.7313
5,5,3,0.5939,0.7622
5,5,4,0.5455,0.7685
5,5,5,0.5317,0.7762
5,5,6,0.5157,0.7781
5,5,7,0.5067,0.7841
5,5,8,0.4908,0.7786
5,5,9,0.4862,0.7859
5,5,10,0.4672,0.7816
5,5,11,0.4604,0.7864
5,5,12,0.4343,0.7882
5,5,13,0.4339,0.7934
5,5,14,0.4194,0.7952
5,5,15,0.399,0.7969
5,5,16,0.3877,0.8054
5,5,17,0.3726,0.8091
5,5,18,0.3577,0.8121
5,5,19,0.3464,0.8131
5,5,20,0.3386,0.8142
5,5,21,0.3285,0.818
5,5,22,0.3162,0.8177
5,5,23,0.3102,0.819
5,5,24,0.3055,0.8193
5,5,25,0.3024,0.8206
5,5,26,0.2943,0.8204
5,5,27,0.2997,0.8197
5,5,28,0.2955,0.8204
5,5,29,0.2925,0.8202
5,5,30,0.2959,0.82
